Date,MGM,LVS,PENN,WYNN,UNEM,CPI,GDPCAP,INT,RATE,PASS
1/3/2005,33.846539,32.35228,6.737508,36.172771,5.3,2.969762419,50068,12.51,5.81,65600443
1/4/2005,33.586788,32.98585,6.612028,36.09552,5.3,2.969762419,50068,12.51,5.81,65600443
1/5/2005,34.191269,32.57903,6.606376,36.503883,5.3,2.969762419,50068,12.51,5.81,65600443
1/6/2005,36.217258,32.00549,6.720552,37.982792,5.3,2.969762419,50068,12.51,5.77,65600443
1/7/2005,35.183014,30.37820,6.761248,36.719109,5.3,2.969762419,50068,12.51,5.77,65600443
1/10/2005,35.088566,30.09809,6.683247,36.862583,5.3,2.969762419,50068,12.51,5.77,65600443
1/11/2005,35.622211,29.82466,6.726204,36.818417,5.3,2.969762419,50068,12.51,5.77,65600443
1/12/2005,35.159397,28.74424,6.713769,36.216927,5.3,2.969762419,50068,12.51,5.77,65600443
1/13/2005,34.899666,28.34409,6.879946,36.012745,5.3,2.969762419,50068,12.51,5.74,65600443
1/14/2005,34.838276,28.94432,7.039340,36.112061,5.3,2.969762419,50068,12.51,5.74,65600443
1/18/2005,36.033081,30.15145,7.280127,37.519264,5.3,2.969762419,50068,12.51,5.74,65600443
1/19/2005,35.915012,29.57789,7.615872,37.54686,5.3,2.969762419,50068,12.51,5.74,65600443
1/20/2005,34.384903,29.18441,7.602306,35.814087,5.3,2.969762419,50068,12.51,5.67,65600443
1/21/2005,33.813477,28.71091,7.329867,34.572464,5.3,2.969762419,50068,12.51,5.67,65600443
1/24/2005,32.963425,28.04398,7.263170,34.103397,5.3,2.969762419,50068,12.51,5.67,65600443
1/25/2005,32.916195,28.07732,7.215691,33.89922,5.3,2.969762419,50068,12.51,5.67,65600443
1/26/2005,33.454556,28.05066,7.369433,34.406902,5.3,2.969762419,50068,12.51,5.67,65600443
1/27/2005,33.671791,28.04398,7.281257,33.888184,5.3,2.969762419,50068,12.51,5.66,65600443
1/28/2005,34.403786,28.14402,7.315171,34.693863,5.3,2.969762419,50068,12.51,5.66,65600443
1/31/2005,33.912643,28.94432,7.414651,36.178307,5.3,2.969762419,50068,12.51,5.66,65600443
2/1/2005,34.847721,28.83761,7.559349,37.116425,5.4,3.007518797,50068,12.21,5.66,65782646
2/2/2005,35.867790,30.11143,7.769613,37.524788,5.4,3.007518797,50068,12.21,5.66,65782646
2/3/2005,35.773327,30.51158,7.516392,37.19368,5.4,3.007518797,50068,12.21,5.63,65782646
2/4/2005,36.835911,31.75872,7.787701,38.35252,5.4,3.007518797,50068,12.21,5.63,65782646
2/7/2005,37.407333,32.64573,7.877007,39.345837,5.4,3.007518797,50068,12.21,5.63,65782646
2/8/2005,37.379005,31.35189,7.853267,39.020252,5.4,3.007518797,50068,12.21,5.63,65782646
2/9/2005,36.363651,31.55198,7.650916,38.214573,5.4,3.007518797,50068,12.21,5.63,65782646
2/10/2005,36.302265,31.71204,7.450825,38.451862,5.4,3.007518797,50068,12.21,5.57,65782646
2/11/2005,36.769798,31.37858,7.537870,38.954025,5.4,3.007518797,50068,12.21,5.57,65782646
2/14/2005,36.802856,32.01882,7.449695,39.3955,5.4,3.007518797,50068,12.21,5.57,65782646
