Date,Open,High,Low,Close,Adj Close,Volume,UNEM,CPI,GDPCAP,INT,RATE,PASS
10/25/2002,13,13.15,12.85,13.01,7.179373,13965800,5.7,2.025886325,46883,13.11,6.31,55055026
10/28/2002,13.01,13.05,12.96,13.01,7.179373,5505900,5.7,2.025886325,46883,13.11,6.31,55055026
10/29/2002,13,13.01,12.04,12.64,6.975194,2235800,5.7,2.025886325,46883,13.11,6.31,55055026
10/30/2002,12.61,12.62,12.13,12.5,6.897936,905800,5.7,2.025886325,46883,13.11,6.31,55055026
10/31/2002,12.56,13.02,12.5,12.61,6.95864,298900,5.7,2.025886325,46883,13.11,6.31,55055026
11/1/2002,12.59,12.7,12.57,12.61,6.95864,268800,5.9,2.198421646,46883,13.11,6.13,56038023
11/4/2002,12.66,12.95,12.65,12.91,7.124188,1307600,5.9,2.198421646,46883,13.11,6.13,56038023
11/5/2002,12.91,13.24,12.89,13.02,7.184891,2384700,5.9,2.198421646,46883,13.11,6.13,56038023
11/6/2002,13.03,13.2,13,13,7.173853,204300,5.9,2.198421646,46883,13.11,6.13,56038023
11/7/2002,13.08,13.16,12.36,13.05,7.201446,724200,5.9,2.198421646,46883,13.11,6.13,56038023
11/8/2002,13.02,13.03,12.83,12.93,7.135227,106400,5.9,2.198421646,46883,13.11,6.11,56038023
11/11/2002,13,13,12.65,12.71,7.013822,110500,5.9,2.198421646,46883,13.11,6.11,56038023
11/12/2002,12.73,12.74,11.86,11.96,6.599947,540700,5.9,2.198421646,46883,13.11,6.11,56038023
11/13/2002,12.05,12.09,10.76,11.1,6.12537,685600,5.9,2.198421646,46883,13.11,6.11,56038023
11/14/2002,11.13,11.25,10.88,11.09,6.119849,462800,5.9,2.198421646,46883,13.11,6.11,56038023
11/15/2002,11.1,11.56,11.08,11.55,6.373693,460700,5.9,2.198421646,46883,13.11,5.94,56038023
11/18/2002,11.58,13.05,11.57,12.18,6.721352,325400,5.9,2.198421646,46883,13.11,5.94,56038023
11/19/2002,12.36,12.8,12.02,12.6,6.953122,211400,5.9,2.198421646,46883,13.11,5.94,56038023
11/20/2002,12.56,12.6,12.23,12.41,6.848272,92700,5.9,2.198421646,46883,13.11,5.94,56038023
11/21/2002,12.54,12.85,12.54,12.85,7.091078,91300,5.9,2.198421646,46883,13.11,5.94,56038023
11/22/2002,12.85,12.86,12.5,12.65,6.980712,55300,5.9,2.198421646,46883,13.11,6.03,56038023
11/25/2002,12.8,13,12.66,12.93,7.135227,111000,5.9,2.198421646,46883,13.11,6.03,56038023
11/26/2002,12.94,12.94,12.74,12.74,7.030378,59300,5.9,2.198421646,46883,13.11,6.03,56038023
11/27/2002,12.9,12.9,12.5,12.5,6.897936,94300,5.9,2.198421646,46883,13.11,6.03,56038023
11/29/2002,12.78,12.89,12.6,12.82,7.074523,35400,5.9,2.198421646,46883,13.11,6.13,56038023
12/2/2002,12.94,12.95,12.35,12.41,6.848272,93600,6,2.376910017,46883,13.11,6.13,56087271
12/3/2002,12.5,12.5,12.31,12.37,6.826199,31100,6,2.376910017,46883,13.11,6.13,56087271
12/4/2002,12.45,12.6,12.31,12.6,6.953122,42300,6,2.376910017,46883,13.11,6.13,56087271
12/5/2002,12.85,13.3,12.76,13.28,7.328366,366100,6,2.376910017,46883,13.11,6.13,56087271
12/6/2002,13.15,13.38,12.99,13.18,7.273185,129300,6,2.376910017,46883,13.11,6.19,56087271
12/9/2002,13.29,13.3,12.87,13,7.173853,106900,6,2.376910017,46883,13.11,6.19,56087271
12/10/2002,13,13.19,12.93,13,7.173853,48300,6,2.376910017,46883,13.11,6.19,56087271
12/11/2002,13.1,13.39,13.02,13.25,7.311814,189700,6,2.376910017,46883,13.11,6.19,56087271
12/12/2002,13.39,13.8,13.27,13.74,7.582211,361400,6,2.376910017,46883,13.11,6.19,56087271
12/13/2002,13.72,14.39,13.53,13.6,7.504957,615500,6,2.376910017,46883,13.11,6.04,56087271
12/16/2002,13.74,14.07,13.66,13.68,7.549105,170900,6,2.376910017,46883,13.11,6.04,56087271
12/17/2002,13.91,13.91,13.31,13.48,7.438733,95100,6,2.376910017,46883,13.11,6.04,56087271
12/18/2002,13.5,13.59,13.06,13.32,7.350439,110800,6,2.376910017,46883,13.11,6.04,56087271
12/19/2002,13.5,13.5,12.5,12.75,7.035897,233700,6,2.376910017,46883,13.11,6.04,56087271
12/20/2002,12.79,13.4,12.69,13.08,7.218002,134900,6,2.376910017,46883,13.11,6.03,56087271
12/23/2002,13.09,13.59,13.01,13.45,7.422183,65300,6,2.376910017,46883,13.11,6.03,56087271
12/24/2002,13.6,13.91,13.32,13.51,7.455288,52300,6,2.376910017,46883,13.11,6.03,56087271
12/26/2002,13.66,13.66,12.96,13.25,7.311814,16300,6,2.376910017,46883,13.11,6.03,56087271
12/27/2002,13.29,13.29,12.95,13,7.173853,42500,6,2.376910017,46883,13.11,5.93,56087271
12/30/2002,13.09,13.36,13,13.1,7.229038,26700,6,2.376910017,46883,13.11,5.93,56087271
12/31/2002,13.35,13.5,13.1,13.11,7.234556,72000,6,2.376910017,46883,13.11,5.93,56087271
1/2/2003,13.01,13.5,13,13.5,7.449772,89700,5.8,2.597402597,47027,13.11,5.93,56442925
1/3/2003,13.5,13.6,13.32,13.4,7.394589,73200,5.8,2.597402597,47027,13.11,5.85,56442925
1/6/2003,13.4,13.56,13.29,13.29,7.333889,90700,5.8,2.597402597,47027,13.11,5.85,56442925
1/7/2003,13.36,13.52,13.2,13.31,7.344923,99300,5.8,2.597402597,47027,13.11,5.85,56442925
