,Website,Area of Expertise,Bio
Sam Peltzman,https://www.chicagobooth.edu/faculty/emeriti/sam-peltzman,"Economics (specifically, the interface between the public sector and the private economy)",Peltzman earned his Ph.D. from the University of Chicago in 1965 and is most notable for the Peltzman Effect
Brad Bachmeier,https://www.bachmeierpottery.com/,Ceramics and Wheel Throwing,Bachmeier works at MSUM and is the School of Art Department Chair and a Professor of Art Education.
Thomas Sowell,https://www.tsowell.com/,"Economics, History, and Social Policy",Sowell is a Senior Fellow at the Hoover Institution. He recieved a master's degree from Columbia University and a doctorate from the University of Chicago.
Frank Herbert,https://dunenovels.com/frank-herbert/,Literature,Herbert was a science fiction author born in Washington state. His most famous works are the novel Dune and its sequels.
Kerianne Lawson,https://www.ndsu.edu/challeyinstitute/about/meet_the_team/kerianne_lawson/,Public Economics and Economic Freedom,Lawson is an Assistant Professor of Economics at NDSU. She earned her Ph.D. from West virginia Univeristy.
Milton Friedman,https://en.wikipedia.org/wiki/Milton_Friedman,Economics,Friedman was an American economist part of the Chicago School. He earned the Nobel Prize in Economics for his work in consumptian analysis and monetary theory.
F.A. Hayek,https://en.wikipedia.org/wiki/Friedrich_Hayek,"Economics, Political Science, and Philosophy",Hayek was an Austrian-British economist who earned notariety for his criticisms of the Keynesian welfare state and of totalitarian socialism. His most famous book is The Road to Serfdom
Jason Brennan,https://gufaculty360.georgetown.edu/s/contact/00336000014RXIUAA4/jason-brennan,"Politics, Philosophy, and Economics",Brennan is professor at Georgetown Univeristy and has written 16 books and over 50 articles. He is the current editor of Public Affairs Quarterly.
Philip Pullman,https://www.philip-pullman.com/,Literature,Pullman is an English writer most famous for the His Dark Materials trilogy. He attended Exeter College at Oxford and recieved his BA in 1968.
Ron Paul,https://twitter.com/RonPaul,Politics,Paul is a former representative of the 14th and 22nd congressional districts in Texas. He was born in Pittsburgh and served as a flight surgeon in the Air Force.
