Year,Chickens,Eggs
1930,468491000,3581
1931,449743000,3532
1932,436815000,3327
1933,444523000,3255
1934,433937000,3156
1935,389958000,3081
1936,403446000,3166
1937,423921000,3443
1938,389624000,3424
1939,418591000,3561
1940,438288000,3640
1941,422841000,3840
1942,476935000,4456
1943,542047000,5000
1944,582197000,5366
1945,516497000,5154
1946,523227000,5130
1947,467217000,5077
1948,499644000,5032
1949,430876000,5148
1950,456549000,5404
1951,430988000,5322
1952,426555000,5323
1953,398156000,5307
1954,396776000,5402
1955,390708000,5407
1956,383690000,5500
1957,391363000,5442
1958,374281000,5442
1959,387002000,5542
1960,369484000,5339
1961,366082000,5358
1962,377392000,5403
1963,375575000,5345
1964,382262000,5435
1965,394118000,5474
1966,393019000,5540
1967,428746000,5836
1968,425158000,5777
1969,422096000,5629
1970,433280000,5704
1971,421763000,5806
1972,404191000,5742
1973,408769000,5502
1974,394101000,5461
1975,379754000,5382
1976,378361000,5377
1977,386518000,5408
1978,396933000,5608
1979,400585000,5777
1980,392110000,5825
1981,384838000,5625
1982,378609000,5800
1983,364584000,5656
1984,374000000,5685
1985,370000000,5704
1986,373000000,5759
1987,380000000,5863
1988,356808000,5823
1989,357241000,5625
1990,353179000,5678
1991,363594000,5789
1992,371483000,5896
1993,379640000,5995
1994,383779000,6159
1995,384241000,6230
1996,386418000,6365
1997,410030000,6462
1998,424094000,6648
1999,436326000,6912
2000,434687000,7060
2001,441089000,7174
2002,438948000,7271
2003,448748000,7289
2004,454165000,7428
2005,453301000,7502
2006,453036000,7573
2007,458593000,7592
2008,449416000,7513
2009,454614000,7540
2010,457197000,7617
2011,454364000,7655
2012,466944000,7741
2013,483128000,8130
2014,489327000,8314
2015,483530000,8101
2016,500608000,8496
2017,514838000,8879
2018,533891000,9099
2019,532203000,9434
2020,519523000,9298
2021,522704200,9227
